GA_d,GA_n
0,0
1,1
2,1
2,2
2,2
3,3
3,4
4,4
4,5
4,6
5,6
6,6
7,7
7,8
7,8
8,8
9,8
9,9
9,9
10,10
10,10
10,10
11,12
11,14
11,15
11,16
11,17
12,18
12,18
13,
14,
14,
14,
14,
15,
15,
15,
15,
16,
16,
16,
16,
17,
17,
18,
