GA_d,GA_n
0,0
1,1
2,1
2,2
2,2
3,3
3,3
4,4
4,4
4,5
4,6
5,7
5,7
6,8
6,8
6,8
6,9
7,10
7,10
8,10
9,10
9,11
9,12
10,14
10,14
10,16
11,17
11,18
11,18
12,
12,
13,
14,
14,
14,
15,
15,
15,
16,
16,
17,
17,
17,
18,
18,
