GA_d,GA_n
0,0
0,1
1,1
2,2
2,2
2,3
3,4
3,4
3,5
4,6
4,6
4,7
4,7
4,7
5,9
5,9
6,10
7,10
8,10
8,11
8,12
8,13
8,14
9,14
9,14
9,15
10,16
10,17
10,18
11,
11,
11,
12,
12,
13,
14,
14,
14,
15,
15,
16,
16,
17,
17,
18,
