GA_d,GA_n
0,0
1,1
2,1
2,2
2,3
2,4
3,4
3,5
3,6
4,7
4,7
5,7
5,8
5,9
6,10
7,10
8,10
8,10
9,11
9,12
10,13
10,14
10,15
10,16
10,17
11,17
11,18
12,18
12,18
13,
14,
14,
14,
14,
14,
15,
15,
15,
16,
16,
16,
17,
17,
18,
18,
