GA_d,GA_n
0,0
1,1
2,1
2,2
2,2
3,2
3,3
3,4
4,4
4,4
4,5
4,6
4,6
5,7
5,7
6,8
6,9
7,10
7,10
8,10
8,12
8,14
9,14
9,14
9,14
9,15
10,16
10,17
10,18
11,
11,
11,
12,
12,
13,
14,
14,
14,
14,
15,
16,
16,
17,
17,
18,
