239500,6640500,59.81994584,10.35236819
239500,6643500,59.84679563,10.34861767
240500,6638500,59.80267314,10.3726284
240500,6639500,59.81162338,10.37138531
240500,6640500,59.82057359,10.37014144
240500,6641500,59.82952377,10.36889678
240500,6642500,59.83847392,10.36765135
240500,6655500,59.95482337,10.35138932
241500,6637500,59.79434755,10.39163055
241500,6638500,59.80329804,10.39039297
241500,6639500,59.81224851,10.3891546
241500,6640500,59.82119894,10.38791547
241500,6641500,59.83014935,10.38667555
241500,6642500,59.83909972,10.38543486
241500,6646500,59.87490096,10.38046428
241500,6655500,59.9554521,10.36923471
241500,6656500,59.96440208,10.36798305
242500,6637500,59.79496984,10.40939116
242500,6638500,59.80392056,10.40815831
242500,6640500,59.8218219,10.40569027
242500,6641500,59.83077253,10.40445509
242500,6642500,59.83972313,10.40321914
242500,6643500,59.8486737,10.40198241
242500,6644500,59.85762425,10.40074491
242500,6654500,59.94712817,10.38832698
243500,6635500,59.77768779,10.4296065
243500,6636500,59.78663878,10.42837991
243500,6637500,59.79558974,10.42715255
243500,6638500,59.80454067,10.42592442
243500,6639500,59.81349158,10.42469552
243500,6640500,59.82244246,10.42346585
243500,6641500,59.83139331,10.42223541
243500,6642500,59.84034413,10.4210042
243500,6643500,59.84929493,10.41977222
243500,6644500,59.8582457,10.41853946
243500,6645500,59.86719644,10.41730592
243500,6646500,59.87614715,10.41607162
243500,6647500,59.88509783,10.41483653
243500,6653500,59.93880136,10.4074097
243500,6654500,59.94775185,10.40616917
244500,6636500,59.78725606,10.44613733
244500,6637500,59.79620724,10.4449147
244500,6638500,59.8051584,10.44369131
244500,6639500,59.81410952,10.44246714
244500,6640500,59.82306062,10.44124221
244500,6641500,59.83201169,10.44001651
244500,6642500,59.84096274,10.43879004
244500,6643500,59.84991376,10.43756279
244500,6644500,59.85886475,10.43633478
244500,6647500,59.88571755,10.43264612
244500,6648500,59.89466843,10.43141502
244500,6650500,59.9125701,10.42895049
244500,6652500,59.93047167,10.42648287
244500,6653500,59.93942241,10.42524789
244500,6654500,59.94837312,10.42401213
244500,6660500,60.00207682,10.41658124
245500,6635500,59.77891952,10.46511267
245500,6636500,59.78787095,10.46389553
245500,6637500,59.79682235,10.46267762
245500,6638500,59.80577372,10.46145896
245500,6639500,59.81472507,10.46023953
245500,6640500,59.82367639,10.45901933
245500,6641500,59.83262768,10.45779837
245500,6642500,59.84157895,10.45657664
245500,6643500,59.85053019,10.45535414
245500,6644500,59.8594814,10.45413088
245500,6645500,59.86843258,10.45290685
245500,6646500,59.87738373,10.45168205
245500,6647500,59.88633486,10.45045648
245500,6648500,59.89528596,10.44923014
245500,6650500,59.91318808,10.44677514
245500,6651500,59.9221391,10.44554649
245500,6652500,59.93109009,10.44431706
245500,6653500,59.94004105,10.44308685
246500,6636500,59.78848344,10.48165448
246500,6637500,59.79743506,10.48044131
246500,6638500,59.80638666,10.47922737
246500,6639500,59.81533822,10.47801268
246500,6640500,59.82428976,10.47679722
246500,6641500,59.83324127,10.47558099
246500,6642500,59.84219276,10.47436401
246500,6643500,59.85114422,10.47314626
246500,6644500,59.86009564,10.47192775
246500,6645500,59.86904705,10.47070847
246500,6646500,59.87799842,10.46948842
246500,6647500,59.88694977,10.46826761
246500,6648500,59.89590109,10.46704603
246500,6649500,59.90485238,10.46582368
246500,6650500,59.91380365,10.46460056
246500,6651500,59.92275489,10.46337668
246500,6652500,59.9317061,10.46215202
246500,6653500,59.94065728,10.46092659
246500,6655500,59.95855957,10.45847343
246500,6656500,59.96751067,10.45724568
246500,6657500,59.97646174,10.45601716
247500,6636500,59.78909354,10.4994142
247500,6637500,59.79804538,10.49820575
247500,6638500,59.80699719,10.49699655
247500,6639500,59.81594898,10.49578659
247500,6641500,59.83385247,10.49336439
247500,6642500,59.84280417,10.49215214
247500,6643500,59.85175585,10.49093914
247500,6644500,59.86070749,10.48972538
247500,6645500,59.86965912,10.48851085
247500,6646500,59.87861071,10.48729556
247500,6647500,59.88756228,10.48607951
247500,6648500,59.89651382,10.48486269
247500,6649500,59.90546533,10.4836451
247500,6650500,59.91441681,10.48242676
247500,6651500,59.92336827,10.48120764
247500,6652500,59.9323197,10.47998776
247500,6653500,59.94127111,10.47876711
247500,6654500,59.95022248,10.47754569
247500,6655500,59.95917383,10.4763235
247500,6656500,59.96812515,10.47510054
247500,6657500,59.97707645,10.47387681
247500,6658500,59.98602771,10.47265231
248500,6641500,59.83446126,10.51114854
248500,6642500,59.84341318,10.50994104
248500,6644500,59.86131694,10.50752377
248500,6645500,59.87026878,10.506314
248500,6646500,59.87922059,10.50510346
248500,6647500,59.88817238,10.50389217
248500,6648500,59.89712414,10.50268011
248500,6649500,59.90607587,10.50146729
248500,6650500,59.91502757,10.50025371
248500,6651500,59.92397925,10.49903937
248500,6652500,59.9329309,10.49782426
248500,6653500,59.94188252,10.49660839
248500,6654500,59.95083412,10.49539175
248500,6655500,59.95978569,10.49417434
248500,6656500,59.96873723,10.49295617
249500,6643500,59.85297191,10.52652719
249500,6644500,59.86192399,10.52532292
249500,6645500,59.87087605,10.5241179
249500,6646500,59.87982808,10.52291213
249500,6647500,59.88878008,10.52170559
249500,6648500,59.89773206,10.5204983
249500,6649500,59.90668401,10.51929025
249500,6650500,59.91563593,10.51808143
249500,6652500,59.93353969,10.51566153
249500,6653500,59.94249153,10.51445043
249500,6654500,59.95144335,10.51323857
249500,6655500,59.96039513,10.51202595
249500,6657500,59.97829862,10.50959841
250500,6643500,59.85357633,10.54432234
250500,6644500,59.86252864,10.54312283
