GA_d,GA_n
0,0
0,1
1,1
2,2
2,2
3,3
3,3
3,4
4,4
4,5
5,6
6,7
6,7
7,8
7,8
7,8
7,8
7,9
8,10
9,10
10,10
10,10
10,11
10,12
10,14
11,16
11,18
11,18
12,18
12,
13,
14,
14,
14,
14,
15,
15,
15,
16,
16,
17,
17,
17,
18,
18,
