GA_d,GA_n
0,0
0,1
0,1
1,1
2,2
2,2
2,3
3,4
3,4
4,5
4,6
4,6
5,7
6,7
7,9
7,9
7,10
7,10
7,10
8,11
8,12
8,12
9,14
9,14
10,15
10,15
10,17
10,17
11,18
11,
11,
11,
12,
12,
13,
13,
14,
15,
15,
16,
16,
17,
17,
18,
18,
