GA_d,GA_n
0,0
0,0
0,1
1,1
1,2
2,2
2,2
2,3
3,4
3,4
4,7
4,8
4,8
4,9
5,10
6,11
6,12
7,13
7,14
7,15
7,15
7,15
7,15
7,15
8,15
8,16
9,16
9,17
10,18
10,
10,
11,
11,
11,
12,
12,
13,
13,
14,
14,
14,
15,
15,
17,
18,
