GA_d,GA_n
0,0
0,1
1,1
2,2
2,2
3,3
3,4
3,4
4,5
4,6
4,6
5,7
6,7
6,8
6,8
7,8
7,8
7,9
8,9
9,10
9,10
10,10
10,11
10,12
10,14
11,15
11,16
11,18
12,18
12,
13,
14,
14,
14,
14,
15,
15,
15,
16,
16,
17,
17,
17,
18,
18,
