GA_d,GA_n
0,0
0,1
1,1
2,1
2,2
2,3
3,4
3,4
3,5
4,6
4,6
5,7
6,8
6,8
7,8
7,8
8,9
9,10
10,10
10,10
10,10
10,11
10,12
11,13
11,14
12,16
12,17
13,18
14,18
14,
15,
15,
15,
15,
15,
15,
16,
16,
16,
16,
17,
17,
17,
18,
18,
