GA_d,GA_n
0,0
0,1
1,1
2,2
2,3
3,4
3,4
3,5
4,6
4,6
4,7
4,7
5,8
7,9
7,9
8,10
8,10
8,10
8,11
9,12
9,13
9,14
10,14
10,14
10,15
10,16
11,17
11,17
11,18
12,
12,
13,
13,
14,
14,
15,
15,
15,
16,
16,
17,
17,
17,
17,
18,
