best,average,diversity
0.12278748682379592,0.1275579667142811,0.9970904956431574
0.12252377927319302,0.12564757216473396,0.9937412805102037
0.12153737391864572,0.1237072367124106,0.9754272515981293
0.12126831022620777,0.12286436379328095,0.9385084752995638
0.12126831022620777,0.12324258527294202,0.9331666136176788
0.12099526703210328,0.12246171671372912,0.9413163436177459
0.12069925175250529,0.12249827442322785,0.9443650506313797
0.12011617227271743,0.12187812696622391,0.9433646711991819
0.12011617227271743,0.12179295654896445,0.9478353907705426
0.12011617227271743,0.12250149356144369,0.9486402099301084
0.12011617227271743,0.12222704943885734,0.956023013545305
0.12011617227271743,0.12230314789839453,0.9559974870149409
0.11993866431360811,0.12213792682081331,0.9560232062424648
0.11993866431360811,0.12152041563720015,0.9515654652093959
0.11993866431360811,0.12212230841417407,0.9505362631735013
0.11993866431360811,0.12213150753004835,0.9532634351970681
0.11991323749419214,0.1214040462623252,0.9537781310637808
0.11991323749419214,0.12125375835036148,0.9567583571481157
0.11979359384102739,0.1212545772829248,0.956018710106096
0.11967188959465325,0.12117750605992349,0.95755802612766
0.1194409562530212,0.12113879440255175,0.9613686145651832
0.11929057499120366,0.12107245875329355,0.9607173065148646
0.11929057499120366,0.12121828710956052,0.9648699811723501
0.11926647277011104,0.12098981722958735,0.9670679709848443
0.11926647277011104,0.12103015852075844,0.9644567861602757
0.11915000808603371,0.12055413703245327,0.955196257522019
0.11890129293230545,0.12071283125687363,0.9570853177686678
0.11890129293230545,0.12055901696911119,0.9574581561300616
0.11890129293230545,0.12072267819227898,0.9575959175543078
0.11890129293230545,0.12074923055703186,0.9600116891134403
0.11890129293230545,0.12071937734006116,0.9610668657143655
0.11890129293230545,0.12069616054565753,0.9574935788838903
0.11890129293230545,0.12082328763509471,0.9561501773380178
0.11890129293230545,0.12128280871830303,0.9591861714090526
0.11890129293230545,0.12097316684648408,0.9646790504994762
0.11890129293230545,0.12086147323048493,0.9616553054872198
0.11887066771413757,0.12132017495339191,0.9570727262050756
0.11887066771413757,0.12100181285541298,0.9574454592153636
